studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Linear Algebra,Languages,10,7,Books-Recommended,,No,5,Programming:Modelling:Fishing:Friend Circle in the University,No,1,1
Mandarin,Biology,2,4,Notes:Lecture Slides,Yes,Yes,7,Volunteering Work:Fishing,Yes,4,2
Biochemistry,Computer Science,4,5,Lecture Slides:Books-Out Of Course:Notes:Books-Recommended,No,Yes,0,Friend Circle in the University,No,3,4
Organic Chemistry,Chemistry,7,10+,Internet Resources(Videos Articles):Notes:Books-Recommended,No,Yes,9,Sports:Modelling:Programming:Fishing,No,4,3
Organic Chemistry,Biology,0,7,Notes:Lecture Slides,Prefer not to Say,No,9,Modelling:Fishing:Volunteering Work:Friend Circle in the University,No,3,3.5
Biochemistry,Languages,7,8,Books-Out Of Course:Books-Recommended:Notes:Lecture Slides,No,No,3,Fishing:Volunteering Work:Sports:Friend Circle in the University,Yes,3,2
Mandarin,Chemistry,7,6,Internet Resources(Videos Articles):Books-Recommended:Notes:Books-Out Of Course,Prefer not to Say,No,0,Volunteering Work:Modelling:Programming,No,1,2
Organic Chemistry,Mathematics,0,6,Lecture Slides:Books-Out Of Course:Notes:Internet Resources(Videos Articles),Yes,Yes,1,Fishing:Volunteering Work:Friend Circle in the University,Yes,4,1
Genetics,Biology,0,3,Books-Out Of Course:Lecture Slides:Books-Recommended,Prefer not to Say,No,3,Fishing,Yes,2,2.5
Functional Programming,History,6,0,Lecture Slides:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Notes,Yes,No,9,Sports:Programming:Modelling:Fishing:Friend Circle in the University:Volunteering Work,No,3,2.5
Organic Chemistry,Chemistry,7,6,Lecture Slides,Yes,No,9,Friend Circle in the University,No,2,3.5
Latin,Languages,10,9,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Lecture Slides:Notes,Yes,No,2,Volunteering Work:Sports:Modelling,No,1,1.5
Databases,Biology,6,8,Lecture Slides:Notes,No,No,8,Modelling:Volunteering Work:Fishing:Friend Circle in the University:Programming:Sports,No,4,1
Biochemistry,History,2,5,Books-Out Of Course:Books-Recommended:Notes:Lecture Slides,Yes,Yes,7,Programming:Fishing:Friend Circle in the University:Sports:Modelling,Yes,2,3.5
Probability and Statistics,Mathematics,6,1,Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,Yes,0,Volunteering Work:Friend Circle in the University:Fishing,No,2,1.5
Linear Algebra,Computer Science,2,6,Books-Out Of Course,Prefer not to Say,No,2,Fishing,No,1,2
Databases,Mathematics,9,5,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes,No,No,3,Sports:Volunteering Work:Friend Circle in the University:Fishing:Modelling:Programming,Yes,3,1
Probability and Statistics,Languages,4,3,Books-Recommended,No,No,5,Sports,No,3,1
Probability and Statistics,Biology,0,10+,Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Books-Recommended,No,Yes,8,Volunteering Work:Modelling:Programming:Fishing:Sports:Friend Circle in the University,No,1,2
Latin,Biology,7,0,Lecture Slides:Notes:Books-Out Of Course:Books-Recommended,No,No,6,Programming:Modelling:Sports,No,2,3
Latin,Biology,4,9,Notes,No,No,0,Sports,No,3,3
Databases,Languages,4,4,Internet Resources(Videos Articles):Notes,,Yes,10+,Friend Circle in the University:Programming:Sports:Volunteering Work:Modelling,No,4,2.5
Linear Algebra,History,4,0,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,Yes,Yes,4,Volunteering Work:Friend Circle in the University:Modelling:Sports:Fishing,Yes,4,1
Organic Chemistry,History,3,5,Notes:Books-Out Of Course:Lecture Slides,Prefer not to Say,Yes,9,Fishing:Friend Circle in the University,No,4,2
English,History,2,0,Lecture Slides:Notes,,No,2,Modelling:Programming:Sports:Fishing,Yes,4,1.5
Databases,Mathematics,0,4,Notes:Lecture Slides:Books-Recommended,Yes,No,4,Modelling:Friend Circle in the University:Programming:Sports,Yes,4,2
Latin,Computer Science,0,0,Lecture Slides:Books-Recommended:Notes:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,9,Friend Circle in the University:Fishing,Yes,3,3.5
English,Computer Science,10,2,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes:Books-Out Of Course,No,Yes,2,Fishing:Modelling:Sports:Volunteering Work,Yes,3,1.5
Biochemistry,Computer Science,7,9,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,Yes,Yes,3,Sports:Friend Circle in the University,No,4,1
Databases,Mathematics,5,9,Notes:Internet Resources(Videos Articles),Prefer not to Say,No,1,Modelling:Fishing:Volunteering Work:Friend Circle in the University:Programming,No,4,1.5
Genetics,Computer Science,4,3,Books-Recommended:Internet Resources(Videos Articles):Notes:Lecture Slides,No,No,1,Volunteering Work:Sports,Yes,3,2
Functional Programming,Biology,1,7,Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Notes,No,Yes,10+,Programming:Volunteering Work,No,1,3.5
English,Mathematics,0,5,Notes:Books-Recommended:Books-Out Of Course,,No,0,Programming:Modelling:Sports:Friend Circle in the University:Volunteering Work:Fishing,No,2,1
Biochemistry,Mathematics,10,0,Notes:Books-Out Of Course:Lecture Slides,,No,4,Sports,Yes,1,1.5
Functional Programming,Languages,9,8,Lecture Slides:Internet Resources(Videos Articles):Notes:Books-Recommended,Prefer not to Say,Yes,2,Volunteering Work:Fishing:Programming,No,1,4
Probability and Statistics,Mathematics,9,4,Books-Out Of Course,,No,7,Fishing:Programming:Sports:Volunteering Work:Friend Circle in the University:Modelling,No,3,2.5
Genetics,Chemistry,3,6,Books-Recommended:Books-Out Of Course:Lecture Slides,No,Yes,6,Programming:Modelling:Friend Circle in the University:Fishing:Volunteering Work:Sports,Yes,4,2.5
Functional Programming,Computer Science,7,6,Notes:Books-Out Of Course,Yes,No,7,Volunteering Work,No,4,3.5
Genetics,Languages,1,5,Notes:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,Prefer not to Say,No,1,Fishing:Sports:Modelling,Yes,3,1.5
English,Chemistry,8,2,Books-Out Of Course:Books-Recommended:Notes:Lecture Slides,Prefer not to Say,Yes,2,Modelling:Sports:Volunteering Work:Fishing,No,2,1.5
Organic Chemistry,Chemistry,10,0,Lecture Slides,Yes,Yes,10+,Programming:Friend Circle in the University:Sports,No,4,3.5
Mandarin,History,10,7,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,No,3,Modelling:Fishing:Friend Circle in the University:Sports,Yes,3,1.5
Databases,Biology,10,1,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,No,No,9,Volunteering Work:Sports,Yes,1,4
Biochemistry,Chemistry,10,3,Books-Recommended:Notes:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,No,Yes,10+,Fishing:Modelling:Volunteering Work,No,1,3
Probability and Statistics,History,2,5,Notes:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),Yes,No,10+,Fishing:Friend Circle in the University:Programming,Yes,4,2.5
English,Mathematics,10,6,Books-Out Of Course:Lecture Slides,Yes,No,8,Friend Circle in the University:Sports:Volunteering Work:Fishing:Programming,Yes,1,4
Linear Algebra,Languages,9,6,Notes:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),,Yes,6,Modelling:Volunteering Work:Fishing:Sports:Friend Circle in the University,Yes,2,2
Latin,Biology,4,2,Books-Out Of Course:Lecture Slides:Books-Recommended:Internet Resources(Videos Articles),Prefer not to Say,No,3,Modelling,No,4,4
Organic Chemistry,Mathematics,3,7,Books-Recommended,Yes,No,6,Programming:Friend Circle in the University:Modelling:Sports:Volunteering Work:Fishing,No,3,1.5
Latin,History,10,4,Notes:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,,Yes,10+,Programming,Yes,4,1.5
Organic Chemistry,Computer Science,4,2,Notes:Lecture Slides,Yes,Yes,1,Fishing:Friend Circle in the University:Volunteering Work:Sports,No,3,3.5
Mandarin,Computer Science,0,10+,Books-Out Of Course,Yes,No,4,Volunteering Work:Modelling,No,1,3
Probability and Statistics,Mathematics,2,3,Internet Resources(Videos Articles):Notes:Books-Recommended,Yes,No,3,Sports:Modelling:Volunteering Work:Programming:Friend Circle in the University,No,3,2.5
Organic Chemistry,Mathematics,7,7,Notes:Internet Resources(Videos Articles):Books-Recommended,Yes,No,0,Modelling:Sports:Fishing:Programming:Volunteering Work,Yes,1,2
Functional Programming,Computer Science,7,4,Notes:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,,Yes,4,Volunteering Work:Sports:Programming,No,1,2
Functional Programming,Chemistry,8,7,Books-Out Of Course:Lecture Slides,Yes,Yes,9,Modelling,No,1,2
Functional Programming,Biology,0,4,Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,0,Volunteering Work:Friend Circle in the University:Sports:Fishing:Modelling:Programming,No,4,1
Mandarin,Biology,4,7,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,No,Yes,9,Friend Circle in the University:Volunteering Work:Modelling:Sports:Programming,Yes,3,1.5
Mandarin,Chemistry,6,6,Internet Resources(Videos Articles):Notes:Books-Out Of Course,Prefer not to Say,No,5,Fishing:Friend Circle in the University:Modelling:Programming:Sports,No,1,2.5
Linear Algebra,Mathematics,10,6,Books-Out Of Course,No,Yes,10+,Programming:Volunteering Work:Modelling:Friend Circle in the University:Fishing:Sports,Yes,1,2
Linear Algebra,Mathematics,10,6,Books-Out Of Course:Books-Recommended:Internet Resources(Videos Articles),,No,3,Programming:Sports:Fishing,Yes,3,1
Databases,Biology,10,7,Internet Resources(Videos Articles):Notes:Books-Recommended:Lecture Slides:Books-Out Of Course,,No,6,Volunteering Work:Modelling:Programming:Fishing:Sports:Friend Circle in the University,Yes,1,1
Biochemistry,Chemistry,4,0,Lecture Slides:Books-Out Of Course:Notes,No,Yes,0,Modelling:Friend Circle in the University:Fishing:Programming:Sports:Volunteering Work,Yes,4,2.5
Organic Chemistry,Mathematics,6,9,Internet Resources(Videos Articles):Notes:Lecture Slides,Prefer not to Say,Yes,2,Fishing:Sports:Modelling:Friend Circle in the University:Programming:Volunteering Work,Yes,2,1
Organic Chemistry,History,1,10+,Notes,No,Yes,1,Programming:Sports:Modelling,No,4,4
Organic Chemistry,History,1,2,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Prefer not to Say,Yes,2,Volunteering Work,Yes,2,2.5
Mandarin,Languages,5,6,Notes:Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course,Yes,Yes,6,Sports:Volunteering Work:Friend Circle in the University:Programming,No,1,1
Mandarin,Computer Science,0,4,Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,No,0,Programming,Yes,3,2.5
English,History,10,4,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Recommended,Prefer not to Say,No,1,Programming:Sports:Modelling:Friend Circle in the University:Fishing,No,2,1
Linear Algebra,Biology,7,1,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides,No,No,5,Volunteering Work:Fishing,No,3,4
Functional Programming,Computer Science,10,3,Books-Out Of Course:Lecture Slides:Notes,Prefer not to Say,No,10+,Modelling:Volunteering Work:Programming:Fishing:Friend Circle in the University,No,2,1.5
Databases,Mathematics,3,6,Books-Recommended:Books-Out Of Course,,No,2,Sports:Modelling:Programming:Volunteering Work,Yes,2,1.5
Organic Chemistry,Mathematics,2,6,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,Prefer not to Say,No,9,Friend Circle in the University:Volunteering Work:Modelling:Programming,No,2,3
Genetics,Biology,7,8,Books-Recommended:Books-Out Of Course,No,No,0,Volunteering Work:Friend Circle in the University,Yes,2,1
Latin,History,4,10+,Books-Recommended:Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,5,Fishing:Sports:Volunteering Work:Modelling:Programming,Yes,2,2.5
Mandarin,Languages,6,10+,Books-Out Of Course:Books-Recommended:Lecture Slides,Yes,No,2,Friend Circle in the University:Volunteering Work:Sports:Programming:Fishing,No,4,2.5
English,Languages,3,3,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Notes,,Yes,7,Volunteering Work,No,3,2.5
Organic Chemistry,Languages,1,2,Internet Resources(Videos Articles):Books-Out Of Course,No,Yes,1,Modelling:Volunteering Work:Programming:Sports:Friend Circle in the University,Yes,1,1
Mandarin,History,0,5,Books-Recommended:Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Out Of Course,Prefer not to Say,Yes,4,Fishing:Modelling:Sports:Volunteering Work:Programming,Yes,3,1.5
Organic Chemistry,History,2,8,Internet Resources(Videos Articles):Books-Recommended:Notes:Lecture Slides,Yes,No,6,Friend Circle in the University:Sports:Modelling:Volunteering Work,No,2,1
Latin,Languages,4,4,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides:Books-Out Of Course:Notes,No,Yes,8,Fishing:Modelling,Yes,4,2.5
English,Biology,3,10+,Books-Recommended,Prefer not to Say,No,5,Fishing,Yes,4,2.5
Genetics,Mathematics,10,8,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,No,7,Programming:Volunteering Work:Fishing:Sports:Modelling,No,4,4
Probability and Statistics,Biology,8,9,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,No,Yes,10+,Modelling:Sports:Volunteering Work:Friend Circle in the University:Programming,No,2,2.5
Biochemistry,Biology,10,3,Internet Resources(Videos Articles):Lecture Slides,,No,2,Fishing:Modelling:Sports:Programming:Volunteering Work:Friend Circle in the University,No,2,1.5
Mandarin,Computer Science,1,1,Notes:Books-Recommended:Lecture Slides:Internet Resources(Videos Articles),,No,3,Fishing:Friend Circle in the University:Volunteering Work:Sports:Modelling:Programming,No,4,3.5
Linear Algebra,Chemistry,0,5,Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides,Yes,Yes,5,Friend Circle in the University:Programming:Volunteering Work,No,4,1
Biochemistry,History,10,6,Books-Out Of Course:Books-Recommended,,No,9,Modelling:Volunteering Work:Programming,Yes,4,3.5
Genetics,Languages,9,7,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,,Yes,4,Programming,Yes,4,1
Linear Algebra,Chemistry,3,4,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes,,Yes,1,Sports:Fishing:Friend Circle in the University:Programming,Yes,1,1.5
Genetics,Languages,7,6,Books-Recommended,,No,8,Modelling:Sports:Programming:Volunteering Work:Fishing,No,1,2.5
Linear Algebra,Languages,0,4,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles):Notes,,No,0,Volunteering Work:Friend Circle in the University:Sports:Programming,Yes,2,1.5
Mandarin,Languages,8,2,Books-Out Of Course:Internet Resources(Videos Articles):Notes:Lecture Slides:Books-Recommended,Yes,No,10+,Programming:Friend Circle in the University:Sports:Fishing:Modelling:Volunteering Work,Yes,1,1
Genetics,Computer Science,1,9,Lecture Slides:Internet Resources(Videos Articles):Notes,Prefer not to Say,No,4,Modelling:Volunteering Work:Sports:Fishing:Friend Circle in the University,No,4,4
Mandarin,Mathematics,4,2,Notes:Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,No,Yes,3,Friend Circle in the University:Modelling,No,3,3
Functional Programming,Computer Science,10,4,Notes:Books-Out Of Course:Lecture Slides,No,Yes,6,Modelling:Sports:Fishing:Programming:Friend Circle in the University:Volunteering Work,Yes,4,4
Latin,Computer Science,6,8,Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,3,Programming,No,4,3
Probability and Statistics,Computer Science,2,5,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),,Yes,5,Sports:Modelling,Yes,1,3
Biochemistry,History,9,3,Notes:Books-Out Of Course:Lecture Slides,,No,6,Sports:Fishing,Yes,1,3.5
English,Mathematics,10,4,Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course:Notes,Yes,No,10+,Sports:Friend Circle in the University:Programming,No,4,1.5
English,Computer Science,0,4,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,,No,8,Sports:Fishing,Yes,1,3.5
Latin,Mathematics,3,5,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Yes,Yes,6,Sports,No,2,3.5
Probability and Statistics,Biology,2,3,Books-Out Of Course:Internet Resources(Videos Articles),Prefer not to Say,Yes,3,Sports:Modelling:Fishing,Yes,1,2.5
Linear Algebra,Languages,3,0,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,Yes,0,Friend Circle in the University:Volunteering Work:Programming:Modelling:Fishing,No,2,2.5
Probability and Statistics,Computer Science,4,4,Books-Out Of Course:Internet Resources(Videos Articles),Yes,Yes,2,Volunteering Work,No,3,1
Probability and Statistics,Chemistry,4,6,Books-Out Of Course:Notes,Yes,No,4,Volunteering Work:Fishing:Programming:Friend Circle in the University:Modelling,Yes,2,1
Organic Chemistry,Computer Science,9,2,Books-Out Of Course,No,Yes,2,Fishing:Sports:Programming,Yes,3,1.5
Probability and Statistics,Chemistry,10,8,Books-Recommended:Notes:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,No,Yes,3,Programming:Modelling:Friend Circle in the University,No,2,3.5
Mandarin,Biology,2,7,Books-Recommended:Internet Resources(Videos Articles):Notes:Books-Out Of Course:Lecture Slides,Prefer not to Say,Yes,1,Sports:Volunteering Work:Modelling:Fishing,No,4,1
